CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
00.613.094/0001-74;2021-03-01;1;2021-04-05;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;S;N;N;S;N;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;33923111000129;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7708;(21) 3725-7821;(21) 3725-7731;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com
00.613.094/0001-74;2021-04-01;1;2021-05-05;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;S;N;N;S;N;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;33923111000129;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7708;(21) 3725-7821;(21) 3725-7731;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com
00.613.094/0001-74;2021-05-01;1;2021-06-02;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;S;N;N;S;N;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;33923111000129;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7708;(21) 3725-7821;(21) 3725-7731;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com
00.613.094/0001-74;2021-06-01;1;2021-07-02;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;S;N;N;S;N;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;33923111000129;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7708;(21) 3725-7821;(21) 3725-7731;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com
00.613.094/0001-74;2021-07-01;1;2021-08-04;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;S;N;N;S;N;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;33923111000129;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7708;(21) 3725-7821;(21) 3725-7731;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com
00.613.094/0001-74;2021-08-01;1;2021-09-03;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;S;N;N;S;N;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;33923111000129;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7708;(21) 3725-7821;(21) 3725-7731;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com
00.613.094/0001-74;2021-09-01;1;2021-10-05;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;S;N;N;S;N;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;33923111000129;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7708;(21) 3725-7821;(21) 3725-7731;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com
00.762.723/0001-28;2021-01-01;1;2021-02-09;FUNDO DE INV. IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;2594279;N;N;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS S/A DTVM;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.762.723/0001-28;2021-02-01;1;2021-03-09;FUNDO DE INV. IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;2594279;N;N;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS S/A DTVM;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.762.723/0001-28;2021-03-01;1;2021-04-09;FUNDO DE INV. IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;2594279;N;N;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS S/A DTVM;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.762.723/0001-28;2021-04-01;1;2021-05-12;FUNDO DE INV. IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;2594279;N;N;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS S/A DTVM;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.762.723/0001-28;2021-05-01;1;2021-06-10;FUNDO DE INV. IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;2594279;N;N;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS S/A DTVM;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.762.723/0001-28;2021-06-01;1;2021-07-08;FUNDO DE INV. IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;2594279;N;N;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS S/A DTVM;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.762.723/0001-28;2021-07-01;1;2021-08-10;FUNDO DE INV. IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;2594279;N;N;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS S/A DTVM;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.762.723/0001-28;2021-08-01;1;2021-09-09;FUNDO DE INV. IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;2594279;N;N;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS S/A DTVM;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.868.235/0001-08;2021-01-01;1;2021-02-12;FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;N;N;Renda;Híbrido;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.868.235/0001-08;2021-02-01;1;2021-03-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;N;N;Renda;Híbrido;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.868.235/0001-08;2021-03-01;1;2021-04-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;N;N;Renda;Híbrido;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.868.235/0001-08;2021-04-01;1;2021-05-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;N;N;Renda;Híbrido;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.868.235/0001-08;2021-05-01;1;2021-06-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;N;N;Renda;Híbrido;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.868.235/0001-08;2021-06-01;1;2021-07-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;N;N;Renda;Híbrido;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.868.235/0001-08;2021-07-01;1;2021-08-16;FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;N;N;Renda;Híbrido;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.868.235/0001-08;2021-08-01;1;2021-09-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;N;N;Renda;Híbrido;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.201.140/0001-90;2021-01-01;1;2021-02-12;FUNDO DE INVESTIMENTO GRAND PLAZA SHOPPING;1996-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;12203833;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTO DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Bloco B - 3º andar;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.201.140/0001-90;2021-02-01;1;2021-03-15;FUNDO DE INVESTIMENTO GRAND PLAZA SHOPPING;1996-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;12203833;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTO DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Bloco B - 3º andar;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.201.140/0001-90;2021-03-01;1;2021-04-15;FUNDO DE INVESTIMENTO GRAND PLAZA SHOPPING;1996-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;12203833;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTO DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Bloco B - 3º andar;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.201.140/0001-90;2021-04-01;1;2021-05-17;FUNDO DE INVESTIMENTO GRAND PLAZA SHOPPING;1996-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;12203833;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTO DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Bloco B - 3º andar;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.201.140/0001-90;2021-05-01;1;2021-06-14;FUNDO DE INVESTIMENTO GRAND PLAZA SHOPPING;1996-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;12203833;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTO DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Bloco B - 3º andar;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.201.140/0001-90;2021-06-01;1;2021-07-15;FUNDO DE INVESTIMENTO GRAND PLAZA SHOPPING;1996-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;12203833;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTO DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Bloco B - 3º andar;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.201.140/0001-90;2021-07-01;1;2021-08-12;FUNDO DE INVESTIMENTO GRAND PLAZA SHOPPING;1996-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;12203833;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTO DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Bloco B - 3º andar;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.201.140/0001-90;2021-08-01;1;2021-09-14;FUNDO DE INVESTIMENTO GRAND PLAZA SHOPPING;1996-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;12203833;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTO DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Bloco B - 3º andar;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.235.622/0001-61;2021-01-01;1;2021-02-12;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-07;INVESTIDOR PROFISSIONAL;BRFTCECTF005;876521;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A;02201501000161;AV. PRESIDENTE WILSON;231;11º ANDAR;CENTRO;RIO DE JANEIRO;RJ;20030905;32192554;;;www.bnymellon.com.br;bnymellon_cvm@bnymellon.com.br
01.235.622/0001-61;2021-02-01;1;2021-03-15;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-07;INVESTIDOR PROFISSIONAL;BRFTCECTF005;876521;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A;02201501000161;AV. PRESIDENTE WILSON;231;11º ANDAR;CENTRO;RIO DE JANEIRO;RJ;20030905;32192554;;;www.bnymellon.com.br;bnymellon_cvm@bnymellon.com.br
01.235.622/0001-61;2021-03-01;2;2021-04-15;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-07;INVESTIDOR PROFISSIONAL;BRFTCECTF005;876521;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A;02201501000161;AV. PRESIDENTE WILSON;231;11º ANDAR;CENTRO;RIO DE JANEIRO;RJ;20030905;32192554;;;www.bnymellon.com.br;bnymellon_cvm@bnymellon.com.br
01.235.622/0001-61;2021-04-01;3;2021-05-19;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-07;INVESTIDOR QUALIFICADO;BRFTCECTF005;876521;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;13486793000142;Rua Iguatemi;151;19º andar;Itaim Bibi;São Paulo;SP;01451-011;(11)31330350;;;www.brltrust.com.br;fii@brltrust.com.br
01.235.622/0001-61;2021-05-01;1;2021-06-15;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-07;INVESTIDOR QUALIFICADO;BRFTCECTF005;876521;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;13486793000142;Rua Iguatemi;151;19º andar;Itaim Bibi;São Paulo;SP;01451-011;(11)31330350;;;www.brltrust.com.br;fii@brltrust.com.br
01.235.622/0001-61;2021-06-01;3;2021-07-20;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-07;INVESTIDOR QUALIFICADO;BRFTCECTF005;876521;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;13486793000142;Rua Iguatemi;151;19º andar;Itaim Bibi;São Paulo;SP;01451-011;(11)31330350;;;www.brltrust.com.br;fii@brltrust.com.br
